,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
10,11,@justinbieber,Justin Bieber,272,Musician,Canada
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
10,11,@justinbieber,Justin Bieber,272,Musician,Canada
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
31,32,@champagnepapi,Drake,128,Musician,Canada
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
31,32,@champagnepapi,Drake,128,Musician,Canada
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
10,11,@justinbieber,Justin Bieber,272,Musician,Canada
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
10,11,@justinbieber,Justin Bieber,272,Musician,Canada
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
31,32,@champagnepapi,Drake,128,Musician,Canada
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
31,32,@champagnepapi,Drake,128,Musician,Canada
