,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
0,1,@instagram,Instagram,586,Social media platform,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
3,4,@kyliejenner,Kylie Jenner,377,"Television personality, model and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
4,5,@selenagomez,Selena Gomez,367,"Musician, actress, and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
5,6,@therock,Dwayne Johnson,356,Actor and professional wrestler,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
6,7,@arianagrande,Ariana Grande,347,"Musician, actress and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
7,8,@kimkardashian,Kim Kardashian,339,"Television personality, model and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
8,9,@beyonce,Beyoncé,289,"Musician, actress and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
9,10,@khloekardashian,Khloé Kardashian,287,Television personality and model,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
11,12,@kendalljenner,Kendall Jenner,268,Model and television personality,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
12,13,@nike,Nike,261,Sportswear multinational,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
13,14,@natgeo,National Geographic,254,Magazine,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
14,15,@taylorswift,Taylor Swift,239,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
16,17,@jlo,Jennifer Lopez,230,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
17,18,@kourtneykardash,Kourtney Kardashian,208,Television personality and model,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
20,21,@mileycyrus,Miley Cyrus,192,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
21,22,@katyperry,Katy Perry,185,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
22,23,@zendaya,Zendaya,163,Actress and singer,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
23,24,@kevinhart4real,Kevin Hart,162,Comedian and actor,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
24,25,@iamcardib,Cardi B,148,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
25,26,@ddlovato,Demi Lovato,146,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
26,27,@kingjames,LeBron James,141,Basketball player,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
29,30,@ellendegeneres,Ellen DeGeneres,129,Comedian and television personality,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
30,31,@chrisbrownofficial,Chris Brown,128,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
33,34,@billieeilish,Billie Eilish,107,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
38,39,@nasa,NASA,86.3,Space agency,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
40,41,@vindiesel,Vin Diesel,85.5,Actor,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
43,44,@snoopdogg,Snoop Dogg,78.7,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
47,48,@gigihadid,Gigi Hadid,76.5,Model,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
48,49,@nba,NBA,74.3,Club basketball competition,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
0,1,@instagram,Instagram,586,Social media platform,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
3,4,@kyliejenner,Kylie Jenner,377,"Television personality, model and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
4,5,@selenagomez,Selena Gomez,367,"Musician, actress, and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
5,6,@therock,Dwayne Johnson,356,Actor and professional wrestler,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
6,7,@arianagrande,Ariana Grande,347,"Musician, actress and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
7,8,@kimkardashian,Kim Kardashian,339,"Television personality, model and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
8,9,@beyonce,Beyoncé,289,"Musician, actress and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
9,10,@khloekardashian,Khloé Kardashian,287,Television personality and model,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
11,12,@kendalljenner,Kendall Jenner,268,Model and television personality,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
12,13,@nike,Nike,261,Sportswear multinational,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
13,14,@natgeo,National Geographic,254,Magazine,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
14,15,@taylorswift,Taylor Swift,239,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
16,17,@jlo,Jennifer Lopez,230,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
17,18,@kourtneykardash,Kourtney Kardashian,208,Television personality and model,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
20,21,@mileycyrus,Miley Cyrus,192,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
21,22,@katyperry,Katy Perry,185,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
22,23,@zendaya,Zendaya,163,Actress and singer,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
23,24,@kevinhart4real,Kevin Hart,162,Comedian and actor,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
24,25,@iamcardib,Cardi B,148,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
25,26,@ddlovato,Demi Lovato,146,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
26,27,@kingjames,LeBron James,141,Basketball player,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
29,30,@ellendegeneres,Ellen DeGeneres,129,Comedian and television personality,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
30,31,@chrisbrownofficial,Chris Brown,128,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
33,34,@billieeilish,Billie Eilish,107,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
38,39,@nasa,NASA,86.3,Space agency,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
40,41,@vindiesel,Vin Diesel,85.5,Actor,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
43,44,@snoopdogg,Snoop Dogg,78.7,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
47,48,@gigihadid,Gigi Hadid,76.5,Model,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
48,49,@nba,NBA,74.3,Club basketball competition,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
0,1,@instagram,Instagram,586,Social media platform,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
3,4,@kyliejenner,Kylie Jenner,377,"Television personality, model and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
4,5,@selenagomez,Selena Gomez,367,"Musician, actress, and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
5,6,@therock,Dwayne Johnson,356,Actor and professional wrestler,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
6,7,@arianagrande,Ariana Grande,347,"Musician, actress and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
7,8,@kimkardashian,Kim Kardashian,339,"Television personality, model and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
8,9,@beyonce,Beyoncé,289,"Musician, actress and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
9,10,@khloekardashian,Khloé Kardashian,287,Television personality and model,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
11,12,@kendalljenner,Kendall Jenner,268,Model and television personality,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
12,13,@nike,Nike,261,Sportswear multinational,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
13,14,@natgeo,National Geographic,254,Magazine,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
14,15,@taylorswift,Taylor Swift,239,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
16,17,@jlo,Jennifer Lopez,230,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
17,18,@kourtneykardash,Kourtney Kardashian,208,Television personality and model,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
20,21,@mileycyrus,Miley Cyrus,192,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
21,22,@katyperry,Katy Perry,185,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
22,23,@zendaya,Zendaya,163,Actress and singer,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
23,24,@kevinhart4real,Kevin Hart,162,Comedian and actor,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
24,25,@iamcardib,Cardi B,148,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
25,26,@ddlovato,Demi Lovato,146,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
26,27,@kingjames,LeBron James,141,Basketball player,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
29,30,@ellendegeneres,Ellen DeGeneres,129,Comedian and television personality,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
30,31,@chrisbrownofficial,Chris Brown,128,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
33,34,@billieeilish,Billie Eilish,107,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
38,39,@nasa,NASA,86.3,Space agency,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
40,41,@vindiesel,Vin Diesel,85.5,Actor,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
43,44,@snoopdogg,Snoop Dogg,78.7,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
47,48,@gigihadid,Gigi Hadid,76.5,Model,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
48,49,@nba,NBA,74.3,Club basketball competition,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
0,1,@instagram,Instagram,586,Social media platform,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
3,4,@kyliejenner,Kylie Jenner,377,"Television personality, model and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
4,5,@selenagomez,Selena Gomez,367,"Musician, actress, and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
5,6,@therock,Dwayne Johnson,356,Actor and professional wrestler,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
6,7,@arianagrande,Ariana Grande,347,"Musician, actress and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
7,8,@kimkardashian,Kim Kardashian,339,"Television personality, model and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
8,9,@beyonce,Beyoncé,289,"Musician, actress and businesswoman",United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
9,10,@khloekardashian,Khloé Kardashian,287,Television personality and model,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
11,12,@kendalljenner,Kendall Jenner,268,Model and television personality,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
12,13,@nike,Nike,261,Sportswear multinational,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
13,14,@natgeo,National Geographic,254,Magazine,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
14,15,@taylorswift,Taylor Swift,239,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
16,17,@jlo,Jennifer Lopez,230,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
17,18,@kourtneykardash,Kourtney Kardashian,208,Television personality and model,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
20,21,@mileycyrus,Miley Cyrus,192,Musician and actress,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
21,22,@katyperry,Katy Perry,185,Musician,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
22,23,@zendaya,Zendaya,163,Actress and singer,United States
,Rank,Username,Owner,Followers(millions)[2],Profession/Activity,Country/Continent
23,24,@kevinhart4real,Kevin Hart,162,Comedian and actor,United States
